date,origin,destination,airline,base_fare,taxes,total_fare,fare_class,availability,source
2026-08-02,DEL,BLR,Akasa Air,4146,746,4892,Economy,40,OTA
2026-08-02,DEL,BLR,SpiceJet,3980,716,4696,Economy Saver,36,OTA
2026-08-02,DEL,HYD,IndiGo,3387,610,3997,Economy,17,OTA
2026-08-02,DEL,HYD,Air India,3771,679,4450,Economy Saver,11,Airline Portal
2026-08-02,DEL,HYD,Akasa Air,3503,631,4134,Economy Saver,18,Airline Portal
2026-08-02,DEL,HYD,SpiceJet,3267,588,3855,Economy Saver,22,OTA
2026-08-02,DEL,CCU,IndiGo,4211,758,4969,Economy,14,OTA
2026-08-02,DEL,CCU,Air India,4767,858,5625,Economy,11,Airline Portal
2026-08-02,DEL,CCU,Akasa Air,4298,774,5072,Economy,26,OTA
2026-08-02,DEL,CCU,SpiceJet,3753,676,4429,Economy Saver,12,Airline Portal
2026-08-02,BOM,BLR,IndiGo,2978,536,3514,Economy Saver,63,OTA
2026-08-02,BOM,BLR,Air India,3513,632,4145,Economy Saver,24,Airline Portal
2026-08-02,BOM,BLR,Akasa Air,3151,567,3718,Economy,79,Airline Portal
2026-08-02,BOM,BLR,SpiceJet,2575,464,3039,Economy,79,OTA
2026-08-02,BOM,DEL,IndiGo,4219,759,4978,Economy,12,Airline Portal
2026-08-02,BOM,DEL,Air India,4150,747,4897,Economy,35,OTA
2026-08-02,BOM,DEL,Akasa Air,4067,732,4799,Economy,79,Airline Portal
2026-08-02,BOM,DEL,SpiceJet,3677,662,4339,Economy Saver,38,Airline Portal
2026-08-02,BLR,HYD,IndiGo,2747,494,3241,Economy,38,OTA
2026-08-02,BLR,HYD,Air India,3129,563,3692,Economy Saver,63,OTA
2026-08-02,BLR,HYD,Akasa Air,2958,532,3490,Economy,6,OTA
2026-08-02,BLR,HYD,SpiceJet,2647,476,3123,Economy,14,Airline Portal
2026-08-02,DEL,MAA,IndiGo,4350,783,5133,Economy Saver,13,Airline Portal
2026-08-02,DEL,MAA,Air India,4722,850,5572,Economy Saver,74,OTA
2026-08-02,DEL,MAA,Akasa Air,4517,813,5330,Economy,75,OTA
2026-08-02,DEL,MAA,SpiceJet,3983,717,4700,Economy,38,Airline Portal
2026-08-03,DEL,BOM,IndiGo,4214,759,4973,Economy,39,OTA
2026-08-03,DEL,BOM,Air India,4513,812,5325,Economy Saver,31,OTA
2026-08-03,DEL,BOM,Akasa Air,3781,681,4462,Economy,16,OTA
2026-08-03,DEL,BOM,SpiceJet,3527,635,4162,Economy,47,Airline Portal
2026-08-03,DEL,BLR,IndiGo,4456,802,5258,Economy,61,OTA
2026-08-03,DEL,BLR,Air India,4740,853,5593,Economy,24,Airline Portal
2026-08-03,DEL,BLR,Akasa Air,4446,800,5246,Economy,60,Airline Portal
2026-08-03,DEL,BLR,SpiceJet,4115,741,4856,Economy,50,Airline Portal
2026-08-03,DEL,HYD,IndiGo,3665,660,4325,Economy,50,OTA
2026-08-03,DEL,HYD,Air India,4009,722,4731,Economy,35,Airline Portal
2026-08-03,DEL,HYD,Akasa Air,3610,650,4260,Economy,57,Airline Portal
2026-08-03,DEL,HYD,SpiceJet,3488,628,4116,Economy Saver,57,Airline Portal
2026-08-03,DEL,CCU,IndiGo,4406,793,5199,Economy,53,Airline Portal
2026-08-03,DEL,CCU,Air India,4489,808,5297,Economy,63,OTA
2026-08-03,DEL,CCU,Akasa Air,4242,764,5006,Economy,33,Airline Portal
2026-08-03,DEL,CCU,SpiceJet,3885,699,4584,Economy Saver,40,Airline Portal
2026-08-03,BOM,BLR,IndiGo,2980,536,3516,Economy Saver,70,OTA
2026-08-03,BOM,BLR,Air India,3501,630,4131,Economy Saver,8,Airline Portal
2026-08-03,BOM,BLR,Akasa Air,2843,512,3355,Economy,79,OTA
2026-08-03,BOM,BLR,SpiceJet,2854,514,3368,Economy Saver,49,OTA
2026-08-03,BOM,DEL,IndiGo,4073,733,4806,Economy,54,Airline Portal
2026-08-03,BOM,DEL,Air India,4489,808,5297,Economy Saver,5,Airline Portal
2026-08-03,BOM,DEL,Akasa Air,3681,663,4344,Economy Saver,45,Airline Portal
2026-08-03,BOM,DEL,SpiceJet,3653,658,4311,Economy Saver,57,OTA
2026-08-03,BLR,HYD,IndiGo,2761,497,3258,Economy,29,OTA
2026-08-03,BLR,HYD,Air India,3047,548,3595,Economy,77,OTA
2026-08-03,BLR,HYD,Akasa Air,2922,526,3448,Economy,43,OTA
2026-08-03,BLR,HYD,SpiceJet,2774,499,3273,Economy Saver,64,OTA
2026-08-03,DEL,MAA,IndiGo,4421,796,5217,Economy Saver,26,Airline Portal
2026-08-03,DEL,MAA,Air India,5008,901,5909,Economy Saver,16,Airline Portal
2026-08-03,DEL,MAA,Akasa Air,4256,766,5022,Economy,23,Airline Portal
2026-08-03,DEL,MAA,SpiceJet,4172,751,4923,Economy,63,OTA
2026-08-04,DEL,BOM,IndiGo,4170,751,4921,Economy,54,OTA
2026-08-04,DEL,BOM,Air India,4242,764,5006,Economy,18,OTA
2026-08-04,DEL,BOM,Akasa Air,4074,733,4807,Economy Saver,11,Airline Portal
2026-08-04,DEL,BOM,SpiceJet,3611,650,4261,Economy Saver,22,OTA
2026-08-04,DEL,BLR,IndiGo,4646,836,5482,Economy Saver,61,OTA
2026-08-04,DEL,BLR,Air India,5022,904,5926,Economy Saver,25,OTA
2026-08-04,DEL,BLR,Akasa Air,4544,818,5362,Economy,40,OTA
2026-08-04,DEL,BLR,SpiceJet,4128,743,4871,Economy Saver,14,OTA
2026-08-04,DEL,HYD,IndiGo,3499,630,4129,Economy Saver,74,Airline Portal
2026-08-04,DEL,HYD,Air India,3724,670,4394,Economy Saver,24,Airline Portal
2026-08-04,DEL,HYD,Akasa Air,3380,608,3988,Economy Saver,74,OTA
2026-08-04,DEL,HYD,SpiceJet,3159,569,3728,Economy Saver,54,Airline Portal
2026-08-04,DEL,CCU,IndiGo,4465,804,5269,Economy Saver,66,Airline Portal
2026-08-04,DEL,CCU,Air India,4579,824,5403,Economy Saver,58,Airline Portal
2026-08-04,DEL,CCU,Akasa Air,4014,723,4737,Economy Saver,67,Airline Portal
2026-08-04,DEL,CCU,SpiceJet,4038,727,4765,Economy Saver,26,OTA
2026-08-04,BOM,BLR,IndiGo,3197,575,3772,Economy,55,Airline Portal
2026-08-04,BOM,BLR,Air India,3281,591,3872,Economy,64,Airline Portal
2026-08-04,BOM,BLR,Akasa Air,2885,519,3404,Economy Saver,32,OTA
2026-08-04,BOM,BLR,SpiceJet,2977,536,3513,Economy Saver,40,OTA
2026-08-04,BOM,DEL,IndiGo,3870,697,4567,Economy Saver,7,Airline Portal
2026-08-04,BOM,DEL,Air India,4395,791,5186,Economy,13,Airline Portal
2026-08-04,BOM,DEL,Akasa Air,4188,754,4942,Economy,30,Airline Portal
2026-08-04,BOM,DEL,SpiceJet,3650,657,4307,Economy,65,Airline Portal
2026-08-04,BLR,HYD,IndiGo,2763,497,3260,Economy Saver,37,OTA
2026-08-04,BLR,HYD,Air India,3162,569,3731,Economy,25,OTA
2026-08-04,BLR,HYD,Akasa Air,2516,453,2969,Economy Saver,78,OTA
2026-08-04,BLR,HYD,SpiceJet,2775,500,3275,Economy,14,Airline Portal
2026-08-04,DEL,MAA,IndiGo,4713,848,5561,Economy Saver,20,Airline Portal
2026-08-04,DEL,MAA,Air India,4922,886,5808,Economy Saver,13,OTA
2026-08-04,DEL,MAA,Akasa Air,4344,782,5126,Economy Saver,18,OTA
2026-08-04,DEL,MAA,SpiceJet,4336,780,5116,Economy Saver,24,OTA
2026-08-05,DEL,BOM,IndiGo,4115,741,4856,Economy Saver,73,OTA
2026-08-05,DEL,BOM,Air India,4629,833,5462,Economy Saver,46,Airline Portal
2026-08-05,DEL,BOM,Akasa Air,3791,682,4473,Economy Saver,62,Airline Portal
2026-08-05,DEL,BOM,SpiceJet,3864,696,4560,Economy Saver,48,Airline Portal
2026-08-05,DEL,BLR,IndiGo,4545,818,5363,Economy,67,Airline Portal
2026-08-05,DEL,BLR,Air India,4867,876,5743,Economy Saver,40,OTA
2026-08-05,DEL,BLR,Akasa Air,4464,804,5268,Economy,15,Airline Portal
2026-08-05,DEL,BLR,SpiceJet,4280,770,5050,Economy,65,OTA
2026-08-05,DEL,HYD,IndiGo,3383,609,3992,Economy,42,Airline Portal
2026-08-05,DEL,HYD,Air India,3784,681,4465,Economy Saver,79,OTA
2026-08-05,DEL,HYD,Akasa Air,3503,631,4134,Economy Saver,59,OTA
2026-08-05,DEL,HYD,SpiceJet,3308,595,3903,Economy Saver,44,OTA
2026-08-05,DEL,CCU,IndiGo,4422,796,5218,Economy,45,Airline Portal
2026-08-05,DEL,CCU,Air India,4939,889,5828,Economy,29,Airline Portal
2026-08-05,DEL,CCU,Akasa Air,4071,733,4804,Economy Saver,17,Airline Portal
2026-08-05,DEL,CCU,SpiceJet,3899,702,4601,Economy,43,Airline Portal
2026-08-05,BOM,BLR,IndiGo,2965,534,3499,Economy Saver,10,Airline Portal
2026-08-05,BOM,BLR,Air India,3493,629,4122,Economy,67,Airline Portal
2026-08-05,BOM,BLR,Akasa Air,3084,555,3639,Economy Saver,65,OTA
2026-08-05,BOM,BLR,SpiceJet,2718,489,3207,Economy,37,OTA
2026-08-05,BOM,DEL,IndiGo,3874,697,4571,Economy Saver,67,Airline Portal
2026-08-05,BOM,DEL,Air India,4570,823,5393,Economy,24,Airline Portal
2026-08-05,BOM,DEL,Akasa Air,4230,761,4991,Economy Saver,15,Airline Portal
2026-08-05,BOM,DEL,SpiceJet,3905,703,4608,Economy Saver,33,OTA
2026-08-05,BLR,HYD,IndiGo,2901,522,3423,Economy Saver,80,OTA
2026-08-05,BLR,HYD,Air India,3210,578,3788,Economy,17,Airline Portal
2026-08-05,BLR,HYD,Akasa Air,2710,488,3198,Economy,25,Airline Portal
2026-08-05,BLR,HYD,SpiceJet,2454,442,2896,Economy,5,OTA
2026-08-05,DEL,MAA,IndiGo,4679,842,5521,Economy Saver,42,Airline Portal
2026-08-05,DEL,MAA,Air India,5082,915,5997,Economy Saver,63,Airline Portal
2026-08-05,DEL,MAA,Akasa Air,4686,843,5529,Economy Saver,80,Airline Portal
2026-08-05,DEL,MAA,SpiceJet,4281,771,5052,Economy,24,OTA
2026-08-06,DEL,BOM,IndiGo,3989,718,4707,Economy,26,OTA
2026-08-06,DEL,BOM,Air India,4680,842,5522,Economy Saver,61,Airline Portal
2026-08-06,DEL,BOM,Akasa Air,3897,701,4598,Economy Saver,39,OTA
2026-08-06,DEL,BOM,SpiceJet,3878,698,4576,Economy,60,OTA
2026-08-06,DEL,BLR,IndiGo,4438,799,5237,Economy,34,Airline Portal
2026-08-06,DEL,BLR,Air India,5197,935,6132,Economy Saver,78,Airline Portal
2026-08-06,DEL,BLR,Akasa Air,4347,782,5129,Economy Saver,71,OTA
2026-08-06,DEL,BLR,SpiceJet,4179,752,4931,Economy Saver,67,Airline Portal
2026-08-06,DEL,HYD,IndiGo,3618,651,4269,Economy Saver,46,Airline Portal
2026-08-06,DEL,HYD,Air India,3922,706,4628,Economy Saver,68,OTA
2026-08-06,DEL,HYD,Akasa Air,3491,628,4119,Economy,63,Airline Portal
2026-08-06,DEL,HYD,SpiceJet,3263,587,3850,Economy,56,Airline Portal
2026-08-06,DEL,CCU,IndiGo,4409,794,5203,Economy Saver,57,Airline Portal
2026-08-06,DEL,CCU,Air India,4604,829,5433,Economy Saver,61,Airline Portal
2026-08-06,DEL,CCU,Akasa Air,4183,753,4936,Economy,41,OTA
2026-08-06,DEL,CCU,SpiceJet,4055,730,4785,Economy,8,Airline Portal
2026-08-06,BOM,BLR,IndiGo,3098,558,3656,Economy,75,OTA
2026-08-06,BOM,BLR,Air India,3541,637,4178,Economy,64,Airline Portal
2026-08-06,BOM,BLR,Akasa Air,2882,519,3401,Economy Saver,42,OTA
2026-08-06,BOM,BLR,SpiceJet,2897,521,3418,Economy Saver,36,OTA
2026-08-06,BOM,DEL,IndiGo,4115,741,4856,Economy,70,Airline Portal
2026-08-06,BOM,DEL,Air India,4436,798,5234,Economy Saver,48,OTA
2026-08-06,BOM,DEL,Akasa Air,3928,707,4635,Economy Saver,80,OTA
2026-08-06,BOM,DEL,SpiceJet,3850,693,4543,Economy Saver,49,OTA
2026-08-06,BLR,HYD,IndiGo,2997,539,3536,Economy Saver,63,OTA
2026-08-06,BLR,HYD,Air India,3356,604,3960,Economy,78,OTA
2026-08-06,BLR,HYD,Akasa Air,2959,533,3492,Economy Saver,10,OTA
2026-08-06,BLR,HYD,SpiceJet,2865,516,3381,Economy Saver,54,Airline Portal
2026-08-06,DEL,MAA,IndiGo,4430,797,5227,Economy,69,OTA
2026-08-06,DEL,MAA,Air India,5282,951,6233,Economy Saver,17,OTA
2026-08-06,DEL,MAA,Akasa Air,4241,763,5004,Economy Saver,24,Airline Portal
2026-08-06,DEL,MAA,SpiceJet,4532,816,5348,Economy Saver,48,OTA
2026-08-07,DEL,BOM,IndiGo,4403,793,5196,Economy Saver,73,OTA
2026-08-07,DEL,BOM,Air India,4674,841,5515,Economy Saver,74,Airline Portal
2026-08-07,DEL,BOM,Akasa Air,3914,705,4619,Economy Saver,34,Airline Portal
2026-08-07,DEL,BOM,SpiceJet,3650,657,4307,Economy,61,Airline Portal
2026-08-07,DEL,BLR,IndiGo,4936,888,5824,Economy,10,OTA
2026-08-07,DEL,BLR,Air India,5019,903,5922,Economy Saver,52,OTA
2026-08-07,DEL,BLR,Akasa Air,4477,806,5283,Economy Saver,77,Airline Portal
2026-08-07,DEL,BLR,SpiceJet,4064,732,4796,Economy Saver,35,OTA
2026-08-07,DEL,HYD,IndiGo,3580,644,4224,Economy,64,OTA
2026-08-07,DEL,HYD,Air India,4075,734,4809,Economy,64,OTA
2026-08-07,DEL,HYD,Akasa Air,3403,613,4016,Economy,61,OTA
2026-08-07,DEL,HYD,SpiceJet,3370,607,3977,Economy Saver,37,OTA
2026-08-07,DEL,CCU,IndiGo,4298,774,5072,Economy Saver,66,Airline Portal
2026-08-07,DEL,CCU,Air India,4746,854,5600,Economy Saver,78,OTA
2026-08-07,DEL,CCU,Akasa Air,4191,754,4945,Economy,55,OTA
2026-08-07,DEL,CCU,SpiceJet,4168,750,4918,Economy,68,OTA
2026-08-07,BOM,BLR,IndiGo,3103,559,3662,Economy Saver,33,Airline Portal
2026-08-07,BOM,BLR,Air India,3567,642,4209,Economy,17,Airline Portal
2026-08-07,BOM,BLR,Akasa Air,3015,543,3558,Economy,79,OTA
2026-08-07,BOM,BLR,SpiceJet,2767,498,3265,Economy Saver,46,OTA
2026-08-07,BOM,DEL,IndiGo,3963,713,4676,Economy Saver,72,OTA
2026-08-07,BOM,DEL,Air India,4465,804,5269,Economy Saver,42,OTA
2026-08-07,BOM,DEL,Akasa Air,4060,731,4791,Economy,23,Airline Portal
2026-08-07,BOM,DEL,SpiceJet,4029,725,4754,Economy Saver,76,OTA
2026-08-07,BLR,HYD,IndiGo,2886,519,3405,Economy,38,Airline Portal
2026-08-07,BLR,HYD,Air India,3321,598,3919,Economy Saver,79,OTA
2026-08-07,BLR,HYD,Akasa Air,3153,568,3721,Economy Saver,18,Airline Portal
2026-08-07,BLR,HYD,SpiceJet,2818,507,3325,Economy Saver,33,Airline Portal
2026-08-07,DEL,MAA,IndiGo,4702,846,5548,Economy Saver,57,Airline Portal
2026-08-07,DEL,MAA,Air India,5246,944,6190,Economy,43,OTA
2026-08-07,DEL,MAA,Akasa Air,4322,778,5100,Economy,54,OTA
2026-08-07,DEL,MAA,SpiceJet,4538,817,5355,Economy Saver,80,Airline Portal
2026-08-08,DEL,BOM,IndiGo,4380,788,5168,Economy,67,OTA
2026-08-08,DEL,BOM,Air India,4542,818,5360,Economy,52,Airline Portal
2026-08-08,DEL,BOM,Akasa Air,4285,771,5056,Economy,51,Airline Portal
2026-08-08,DEL,BOM,SpiceJet,3905,703,4608,Economy Saver,12,OTA
2026-08-08,DEL,BLR,IndiGo,4933,888,5821,Economy,63,Airline Portal
2026-08-08,DEL,BLR,Air India,5214,939,6153,Economy,11,OTA
2026-08-08,DEL,BLR,Akasa Air,4309,776,5085,Economy,13,Airline Portal
2026-08-08,DEL,BLR,SpiceJet,4529,815,5344,Economy,47,Airline Portal
2026-08-08,DEL,HYD,IndiGo,3833,690,4523,Economy,40,Airline Portal
2026-08-08,DEL,HYD,Air India,4144,746,4890,Economy Saver,27,Airline Portal
2026-08-08,DEL,HYD,Akasa Air,3368,606,3974,Economy,6,OTA
2026-08-08,DEL,HYD,SpiceJet,3347,602,3949,Economy Saver,7,Airline Portal
2026-08-08,DEL,CCU,IndiGo,4200,756,4956,Economy Saver,72,Airline Portal
2026-08-08,DEL,CCU,Air India,4821,868,5689,Economy Saver,51,Airline Portal
2026-08-08,DEL,CCU,Akasa Air,4105,739,4844,Economy,71,OTA
2026-08-08,DEL,CCU,SpiceJet,4310,776,5086,Economy,12,OTA
2026-08-08,BOM,BLR,IndiGo,3256,586,3842,Economy,67,OTA
2026-08-08,BOM,BLR,Air India,3196,575,3771,Economy Saver,23,Airline Portal
2026-08-08,BOM,BLR,Akasa Air,3105,559,3664,Economy Saver,53,OTA
2026-08-08,BOM,BLR,SpiceJet,3021,544,3565,Economy Saver,17,Airline Portal
2026-08-08,BOM,DEL,IndiGo,4372,787,5159,Economy,60,OTA
2026-08-08,BOM,DEL,Air India,4600,828,5428,Economy Saver,63,OTA
2026-08-08,BOM,DEL,Akasa Air,3842,692,4534,Economy Saver,59,OTA
2026-08-08,BOM,DEL,SpiceJet,3857,694,4551,Economy,65,Airline Portal
2026-08-08,BLR,HYD,IndiGo,2749,495,3244,Economy,60,Airline Portal
2026-08-08,BLR,HYD,Air India,3256,586,3842,Economy,76,Airline Portal
2026-08-08,BLR,HYD,Akasa Air,2958,532,3490,Economy Saver,20,OTA
2026-08-08,BLR,HYD,SpiceJet,2852,513,3365,Economy Saver,11,OTA
2026-08-08,DEL,MAA,IndiGo,4675,842,5517,Economy,78,Airline Portal
2026-08-08,DEL,MAA,Air India,5036,906,5942,Economy,18,OTA
2026-08-08,DEL,MAA,Akasa Air,4534,816,5350,Economy,40,Airline Portal
2026-08-08,DEL,MAA,SpiceJet,4581,825,5406,Economy,39,Airline Portal
2026-08-09,DEL,BOM,IndiGo,4305,775,5080,Economy Saver,48,OTA
2026-08-09,DEL,BOM,Air India,4689,844,5533,Economy,77,OTA
2026-08-09,DEL,BOM,Akasa Air,4136,744,4880,Economy,16,Airline Portal
2026-08-09,DEL,BOM,SpiceJet,3878,698,4576,Economy Saver,25,OTA
2026-08-09,DEL,BLR,IndiGo,4638,835,5473,Economy,11,Airline Portal
2026-08-09,DEL,BLR,Air India,5133,924,6057,Economy,15,OTA
2026-08-09,DEL,BLR,Akasa Air,4526,815,5341,Economy Saver,61,OTA
2026-08-09,DEL,BLR,SpiceJet,4473,805,5278,Economy,49,OTA
2026-08-09,DEL,HYD,IndiGo,3779,680,4459,Economy Saver,72,OTA
2026-08-09,DEL,HYD,Air India,3915,705,4620,Economy,5,Airline Portal
2026-08-09,DEL,HYD,Akasa Air,3429,617,4046,Economy,37,OTA
2026-08-09,DEL,HYD,SpiceJet,3181,573,3754,Economy Saver,60,Airline Portal
2026-08-09,DEL,CCU,IndiGo,4408,793,5201,Economy,69,OTA
2026-08-09,DEL,CCU,Air India,4915,885,5800,Economy,60,Airline Portal
2026-08-09,DEL,CCU,Akasa Air,4063,731,4794,Economy Saver,78,OTA
2026-08-09,DEL,CCU,SpiceJet,4230,761,4991,Economy Saver,42,Airline Portal
2026-08-09,BOM,BLR,IndiGo,3485,627,4112,Economy Saver,26,OTA
2026-08-09,BOM,BLR,Air India,3813,686,4499,Economy Saver,16,OTA
2026-08-09,BOM,BLR,Akasa Air,3070,553,3623,Economy Saver,80,OTA
2026-08-09,BOM,BLR,SpiceJet,2956,532,3488,Economy Saver,48,Airline Portal
2026-08-09,BOM,DEL,IndiGo,4063,731,4794,Economy,70,Airline Portal
2026-08-09,BOM,DEL,Air India,4456,802,5258,Economy Saver,49,Airline Portal
2026-08-09,BOM,DEL,Akasa Air,3863,695,4558,Economy Saver,30,Airline Portal
2026-08-09,BOM,DEL,SpiceJet,4077,734,4811,Economy,27,OTA
2026-08-09,BLR,HYD,IndiGo,3091,556,3647,Economy Saver,77,OTA
2026-08-09,BLR,HYD,Air India,3454,622,4076,Economy Saver,24,OTA
2026-08-09,BLR,HYD,Akasa Air,2831,510,3341,Economy Saver,40,Airline Portal
2026-08-09,BLR,HYD,SpiceJet,2575,464,3039,Economy Saver,64,OTA
2026-08-09,DEL,MAA,IndiGo,4606,829,5435,Economy Saver,14,Airline Portal
2026-08-09,DEL,MAA,Air India,5175,932,6107,Economy Saver,64,Airline Portal
2026-08-09,DEL,MAA,Akasa Air,4724,850,5574,Economy,46,OTA
2026-08-09,DEL,MAA,SpiceJet,4619,831,5450,Economy,62,Airline Portal
2026-08-10,DEL,BOM,IndiGo,4540,817,5357,Economy Saver,15,Airline Portal
2026-08-10,DEL,BOM,Air India,4636,834,5470,Economy Saver,61,Airline Portal
2026-08-10,DEL,BOM,Akasa Air,4310,776,5086,Economy Saver,54,OTA
2026-08-10,DEL,BOM,SpiceJet,4103,739,4842,Economy,47,Airline Portal
2026-08-10,DEL,BLR,IndiGo,4789,862,5651,Economy Saver,41,OTA
2026-08-10,DEL,BLR,Air India,5316,957,6273,Economy,47,Airline Portal
2026-08-10,DEL,BLR,Akasa Air,4441,799,5240,Economy Saver,44,OTA
2026-08-10,DEL,BLR,SpiceJet,4444,800,5244,Economy,44,OTA
2026-08-10,DEL,HYD,IndiGo,3743,674,4417,Economy,72,Airline Portal
2026-08-10,DEL,HYD,Air India,4097,737,4834,Economy Saver,7,OTA
2026-08-10,DEL,HYD,Akasa Air,3836,690,4526,Economy,48,OTA
2026-08-10,DEL,HYD,SpiceJet,3245,584,3829,Economy,14,OTA
2026-08-10,DEL,CCU,IndiGo,4371,787,5158,Economy,48,Airline Portal
2026-08-10,DEL,CCU,Air India,4704,847,5551,Economy,28,Airline Portal
2026-08-10,DEL,CCU,Akasa Air,4133,744,4877,Economy Saver,51,Airline Portal
2026-08-10,DEL,CCU,SpiceJet,4292,773,5065,Economy Saver,62,Airline Portal
2026-08-10,BOM,BLR,IndiGo,3208,577,3785,Economy Saver,29,OTA
2026-08-10,BOM,BLR,Air India,3641,655,4296,Economy Saver,64,OTA
2026-08-10,BOM,BLR,Akasa Air,3228,581,3809,Economy Saver,25,Airline Portal
2026-08-10,BOM,BLR,SpiceJet,2911,524,3435,Economy Saver,11,OTA
2026-08-10,BOM,DEL,IndiGo,4410,794,5204,Economy,71,Airline Portal
2026-08-10,BOM,DEL,Air India,4724,850,5574,Economy,39,OTA
2026-08-10,BOM,DEL,Akasa Air,4033,726,4759,Economy Saver,16,Airline Portal
2026-08-10,BOM,DEL,SpiceJet,4217,759,4976,Economy Saver,8,OTA
2026-08-10,BLR,HYD,IndiGo,2999,540,3539,Economy Saver,35,OTA
2026-08-10,BLR,HYD,Air India,3401,612,4013,Economy,8,OTA
2026-08-10,BLR,HYD,Akasa Air,3241,583,3824,Economy Saver,23,Airline Portal
2026-08-10,BLR,HYD,SpiceJet,2969,534,3503,Economy Saver,22,OTA
2026-08-10,DEL,MAA,IndiGo,4533,816,5349,Economy,7,OTA
2026-08-10,DEL,MAA,Air India,4933,888,5821,Economy Saver,19,OTA
2026-08-10,DEL,MAA,Akasa Air,4356,784,5140,Economy,35,OTA
2026-08-10,DEL,MAA,SpiceJet,4506,811,5317,Economy Saver,13,Airline Portal
2026-08-11,DEL,BOM,IndiGo,4414,795,5209,Economy,70,Airline Portal
2026-08-11,DEL,BOM,Air India,4629,833,5462,Economy Saver,5,OTA
2026-08-11,DEL,BOM,Akasa Air,4053,730,4783,Economy,15,OTA
2026-08-11,DEL,BOM,SpiceJet,3899,702,4601,Economy,54,OTA
2026-08-11,DEL,BLR,IndiGo,4659,839,5498,Economy Saver,37,Airline Portal
2026-08-11,DEL,BLR,Air India,4956,892,5848,Economy Saver,35,Airline Portal
2026-08-11,DEL,BLR,Akasa Air,4823,868,5691,Economy Saver,22,Airline Portal
2026-08-11,DEL,BLR,SpiceJet,4328,779,5107,Economy,64,OTA
2026-08-11,DEL,HYD,IndiGo,4023,724,4747,Economy,13,OTA
2026-08-11,DEL,HYD,Air India,3859,695,4554,Economy,30,Airline Portal
2026-08-11,DEL,HYD,Akasa Air,3536,636,4172,Economy Saver,74,OTA
